nb_naissances_annee,nb_naissances,code_dep_naissances
2022,6560,54
2023,5913,54
2024,5860,54
2025,5210,54
2026,4909,54
2016,1751,55
2017,1729,55
2018,1626,55
2019,1551,55
2020,1512,55
2021,1581,55
2022,1473,55
2023,1388,55
2024,1296,55
2025,1215,55
2026,1158,55
2016,6974,56
2017,6754,56
2018,6637,56
2019,6661,56
2020,6478,56
2021,6755,56
2022,6766,56
2023,6186,56
2024,5974,56
2025,5340,56
2026,5022,56
2016,10707,57
2017,10547,57
2018,10189,57
2019,10232,57
2020,9697,57
2021,9744,57
2022,9346,57
2023,8660,57
2024,8693,57
2025,7915,57
2026,7578,57
2016,1675,58
2017,1628,58
2018,1657,58
2019,1522,58
2020,1482,58
2021,1547,58
2022,1507,58
2023,1412,58
2024,1339,58
2025,1302,58
2026,1264,58
2016,33501,59
2017,32304,59
2018,31396,59
2019,31096,59
2020,30145,59
2021,30010,59
2022,28956,59
2023,27488,59
2024,26560,59
2025,24126,59
2026,22945,59
2016,10159,60
2017,9974,60
2018,9565,60
2019,9509,60
2020,9319,60
2021,9331,60
2022,9202,60
2023,8509,60
2024,8452,60
2025,7728,60
2026,7397,60
2016,2643,61
2017,2495,61
2018,2444,61
2019,2349,61
2020,2324,61
2021,2281,61
2022,2391,61
2023,2270,61
2024,2150,61
2025,2122,61
2026,2083,61
2016,17063,62
2017,16604,62
2018,15600,62
2019,15590,62
2020,15261,62
2021,15419,62
2022,15030,62
2023,14130,62
2024,13905,62
2025,12816,62
2026,12303,62
2016,6532,63
2017,6528,63
2018,6555,63
2019,6424,63
2020,6175,63
2021,6346,63
2022,6055,63
2023,5510,63
2024,5415,63
2025,4799,63
2026,4509,63
2016,6144,64
2017,5965,64
2018,5839,64
2019,5893,64
2020,5950,64
2021,5979,64
2022,5893,64
2023,5477,64
2024,5358,64
2025,4809,64
2026,4554,64
2016,1913,65
2017,1907,65
2018,1802,65
2019,1824,65
2020,1897,65
2021,1810,65
2022,1862,65
2023,1785,65
2024,1665,65
2025,1605,65
2026,1553,65
2016,4439,66
2017,4429,66
2018,4342,66
2019,4319,66
2020,4329,66
2021,4512,66
2022,4318,66
2023,4146,66
2024,4045,66
2025,3750,66
2026,3610,66
2016,12516,67
2017,12299,67
2018,12176,67
2019,12019,67
2020,11797,67
2021,11660,67
2022,11298,67
2023,10699,67
2024,10409,67
2025,9488,67
2026,9050,67
2016,8285,68
2017,8159,68
2018,8054,68
2019,7705,68
2020,7536,68
2021,7360,68
2022,7236,68
2023,6740,68
2024,6633,68
2025,6047,68
2026,5775,68
2016,26121,69
2017,25644,69
2018,25513,69
2019,25152,69
2020,24241,69
2021,24009,69
2022,22986,69
2023,21529,69
2024,21425,69
2025,19381,69
2026,18494,69
2016,2271,70
2017,2200,70
2018,2112,70
2019,2044,70
2020,1954,70
2021,1995,70
2022,1913,70
2023,1781,70
2024,1784,70
2025,1655,70
2026,1598,70
2016,5097,71
2017,4949,71
2018,4854,71
2019,4742,71
2020,4655,71
2021,4790,71
2022,4586,71
2023,4337,71
2024,4094,71
2025,3601,71
2026,3355,71
2016,6054,72
2017,5815,72
2018,5635,72
2019,5749,72
2020,5547,72
2021,5710,72
2022,5647,72
2023,5271,72
2024,5088,72
2025,4581,72
2026,4330,72
2016,4536,73
2017,4476,73
2018,4509,73
2019,4383,73
2020,4273,73
2021,4384,73
2022,4272,73
2023,3793,73
2024,3902,73
2025,3583,73
2026,3444,73
2016,9708,74
2017,9603,74
2018,9905,74
2019,9823,74
2020,9680,74
2021,9860,74
2022,9595,74
2023,8969,74
2024,8817,74
2025,8080,74
2026,7731,74
2016,28384,75
2017,27419,75
2018,27367,75
2019,27373,75
2020,26157,75
2021,25810,75
2022,23785,75
2023,21775,75
2024,21484,75
2025,18275,75
2026,16864,75
2016,14645,76
2017,14326,76
2018,14183,76
2019,14044,76
