dimensions.GEO,dimensions.EC_MEASURE,dimensions.FREQ,nb_naissances_annee,attributes.OBS_STATUS_FR,nb_naissances,code_dep_naissances
2024-DEP-16,LVB,A,2016,D,3183.0,16
2024-DEP-16,LVB,A,2018,D,2955.0,16
2024-DEP-16,LVB,A,2022,D,3016.0,16
2024-DEP-16,LVB,A,2019,D,2987.0,16
2024-DEP-16,LVB,A,2017,D,3034.0,16
2024-DEP-16,LVB,A,2020,D,2931.0,16
2024-DEP-17,LVB,A,2023,D,4628.0,17
2024-DEP-17,LVB,A,2015,D,5425.0,17
2024-DEP-17,LVB,A,2016,D,5474.0,17
2024-DEP-17,LVB,A,2018,D,5061.0,17
2024-DEP-17,LVB,A,2022,D,5086.0,17
2024-DEP-17,LVB,A,2017,D,5151.0,17
2024-DEP-17,LVB,A,2020,D,4941.0,17
2024-DEP-17,LVB,A,2024,PROV,4617.0,17
2024-DEP-17,LVB,A,2021,D,5207.0,17
2024-DEP-17,LVB,A,2019,D,5149.0,17
2024-DEP-18,LVB,A,2020,D,2601.0,18
2024-DEP-18,LVB,A,2015,D,2825.0,18
2024-DEP-18,LVB,A,2023,D,2348.0,18
2024-DEP-18,LVB,A,2024,PROV,2378.0,18
2024-DEP-18,LVB,A,2017,D,2788.0,18
2024-DEP-18,LVB,A,2019,D,2771.0,18
2024-DEP-18,LVB,A,2018,D,2662.0,18
2024-DEP-18,LVB,A,2021,D,2665.0,18
2024-DEP-18,LVB,A,2016,D,2875.0,18
2024-DEP-18,LVB,A,2022,D,2669.0,18
2024-DEP-19,LVB,A,2023,D,1690.0,19
2024-DEP-19,LVB,A,2024,PROV,1614.0,19
2024-DEP-19,LVB,A,2021,D,1863.0,19
2024-DEP-19,LVB,A,2020,D,1864.0,19
2024-DEP-19,LVB,A,2019,D,1831.0,19
2024-DEP-19,LVB,A,2018,D,1907.0,19
2024-DEP-19,LVB,A,2015,D,1946.0,19
2024-DEP-19,LVB,A,2016,D,1986.0,19
2024-DEP-19,LVB,A,2022,D,1880.0,19
2024-DEP-19,LVB,A,2017,D,1919.0,19
2024-DEP-2A,LVB,A,2015,D,1336.0,2A
2024-DEP-2A,LVB,A,2021,D,1307.0,2A
2024-DEP-2A,LVB,A,2023,D,1193.0,2A
2024-DEP-2A,LVB,A,2020,D,1286.0,2A
2024-DEP-2A,LVB,A,2022,D,1333.0,2A
2024-DEP-2A,LVB,A,2017,D,1328.0,2A
2024-DEP-2A,LVB,A,2016,D,1372.0,2A
2024-DEP-2A,LVB,A,2019,D,1348.0,2A
2024-DEP-2A,LVB,A,2024,PROV,1152.0,2A
2024-DEP-2A,LVB,A,2018,D,1374.0,2A
2024-DEP-2B,LVB,A,2019,D,1503.0,2B
2024-DEP-2B,LVB,A,2016,D,1541.0,2B
2024-DEP-2B,LVB,A,2023,D,1307.0,2B
2024-DEP-2B,LVB,A,2018,D,1480.0,2B
2024-DEP-2B,LVB,A,2020,D,1401.0,2B
2024-DEP-2B,LVB,A,2024,PROV,1325.0,2B
2024-DEP-2B,LVB,A,2021,D,1421.0,2B
2024-DEP-2B,LVB,A,2015,D,1530.0,2B
2024-DEP-2B,LVB,A,2022,D,1416.0,2B
2024-DEP-2B,LVB,A,2017,D,1590.0,2B
2024-DEP-21,LVB,A,2019,D,5062.0,21
2024-DEP-21,LVB,A,2016,D,5378.0,21
2024-DEP-21,LVB,A,2021,D,4977.0,21
2024-DEP-21,LVB,A,2023,D,4514.0,21
2024-DEP-21,LVB,A,2020,D,5165.0,21
2024-DEP-21,LVB,A,2022,D,4878.0,21
2024-DEP-21,LVB,A,2024,PROV,4333.0,21
2024-DEP-21,LVB,A,2018,D,5191.0,21
2024-DEP-21,LVB,A,2015,D,5484.0,21
2024-DEP-21,LVB,A,2017,D,5394.0,21
2024-DEP-22,LVB,A,2024,PROV,4601.0,22
2024-DEP-22,LVB,A,2016,D,5409.0,22
2024-DEP-22,LVB,A,2019,D,5132.0,22
2024-DEP-22,LVB,A,2020,D,5082.0,22
2024-DEP-22,LVB,A,2021,D,5398.0,22
2024-DEP-22,LVB,A,2018,D,5313.0,22
2024-DEP-22,LVB,A,2015,D,5606.0,22
2024-DEP-22,LVB,A,2017,D,5332.0,22
2024-DEP-22,LVB,A,2022,D,4991.0,22
2024-DEP-22,LVB,A,2023,D,4609.0,22
2024-DEP-23,LVB,A,2015,D,885.0,23
2024-DEP-23,LVB,A,2017,D,834.0,23
2024-DEP-23,LVB,A,2023,D,770.0,23
2024-DEP-23,LVB,A,2020,D,758.0,23
2024-DEP-23,LVB,A,2022,D,760.0,23
2024-DEP-23,LVB,A,2018,D,802.0,23
2024-DEP-23,LVB,A,2024,PROV,713.0,23
2024-DEP-23,LVB,A,2016,D,822.0,23
2024-DEP-23,LVB,A,2021,D,788.0,23
2024-DEP-23,LVB,A,2019,D,772.0,23
2024-DEP-24,LVB,A,2021,D,3073.0,24
2024-DEP-24,LVB,A,2022,D,3073.0,24
2024-DEP-24,LVB,A,2016,D,3228.0,24
2024-DEP-24,LVB,A,2023,D,2746.0,24
2024-DEP-24,LVB,A,2020,D,3012.0,24
2024-DEP-24,LVB,A,2018,D,2942.0,24
2024-DEP-24,LVB,A,2024,PROV,2669.0,24
2024-DEP-24,LVB,A,2019,D,2972.0,24
2024-DEP-24,LVB,A,2015,D,3255.0,24
2024-DEP-24,LVB,A,2017,D,3175.0,24
2024-DEP-25,LVB,A,2016,D,6344.0,25
2024-DEP-25,LVB,A,2020,D,5671.0,25
2024-DEP-25,LVB,A,2015,D,6521.0,25
2024-DEP-25,LVB,A,2022,D,5394.0,25
2024-DEP-25,LVB,A,2021,D,5589.0,25
2024-DEP-25,LVB,A,2019,D,5757.0,25
2024-DEP-25,LVB,A,2023,D,5116.0,25
2024-DEP-25,LVB,A,2017,D,6123.0,25
2024-DEP-25,LVB,A,2024,PROV,4976.0,25
2024-DEP-25,LVB,A,2018,D,5992.0,25
2024-DEP-26,LVB,A,2016,D,5548.0,26
2024-DEP-26,LVB,A,2015,D,5769.0,26
2024-DEP-26,LVB,A,2017,D,5571.0,26
2024-DEP-26,LVB,A,2023,D,4816.0,26
2024-DEP-26,LVB,A,2018,D,5411.0,26
2024-DEP-26,LVB,A,2022,D,5276.0,26
2024-DEP-26,LVB,A,2021,D,5308.0,26
2024-DEP-26,LVB,A,2020,D,5187.0,26
2024-DEP-26,LVB,A,2024,PROV,4721.0,26
2024-DEP-26,LVB,A,2019,D,5476.0,26
2024-DEP-27,LVB,A,2020,D,6181.0,27
2024-DEP-27,LVB,A,2015,D,6930.0,27
2024-DEP-27,LVB,A,2019,D,6175.0,27
2024-DEP-27,LVB,A,2021,D,6211.0,27
2024-DEP-27,LVB,A,2022,D,6237.0,27
2024-DEP-27,LVB,A,2024,PROV,5461.0,27
2024-DEP-27,LVB,A,2018,D,6434.0,27
2024-DEP-27,LVB,A,2017,D,6594.0,27
2024-DEP-27,LVB,A,2016,D,6974.0,27
2024-DEP-27,LVB,A,2023,D,5689.0,27
2024-DEP-28,LVB,A,2022,D,4602.0,28
2024-DEP-28,LVB,A,2018,D,4730.0,28
2024-DEP-28,LVB,A,2019,D,4583.0,28
2024-DEP-28,LVB,A,2023,D,4190.0,28
2024-DEP-28,LVB,A,2020,D,4439.0,28
2024-DEP-28,LVB,A,2016,D,5208.0,28
2024-DEP-28,LVB,A,2021,D,4498.0,28
2024-DEP-28,LVB,A,2017,D,4781.0,28
2024-DEP-28,LVB,A,2024,PROV,3991.0,28
2024-DEP-28,LVB,A,2015,D,5063.0,28
2024-DEP-29,LVB,A,2016,D,8419.0,29
2024-DEP-29,LVB,A,2015,D,8790.0,29
2024-DEP-29,LVB,A,2018,D,8095.0,29
2024-DEP-29,LVB,A,2022,D,7964.0,29
2024-DEP-29,LVB,A,2017,D,8370.0,29
2024-DEP-29,LVB,A,2023,D,7273.0,29
2024-DEP-29,LVB,A,2020,D,7885.0,29
2024-DEP-29,LVB,A,2024,PROV,7121.0,29
2024-DEP-29,LVB,A,2021,D,8154.0,29
2024-DEP-29,LVB,A,2019,D,7975.0,29
2024-DEP-30,LVB,A,2019,D,7484.0,30
2024-DEP-30,LVB,A,2016,D,8005.0,30
2024-DEP-30,LVB,A,2023,D,6709.0,30
2024-DEP-30,LVB,A,2017,D,7708.0,30
2024-DEP-30,LVB,A,2022,D,7422.0,30
2024-DEP-30,LVB,A,2021,D,7481.0,30
2024-DEP-30,LVB,A,2020,D,7377.0,30
2024-DEP-30,LVB,A,2015,D,8006.0,30
2024-DEP-30,LVB,A,2018,D,7585.0,30
2024-DEP-30,LVB,A,2024,PROV,6546.0,30
2024-DEP-31,LVB,A,2016,D,16049.0,31
2024-DEP-31,LVB,A,2017,D,16024.0,31
2024-DEP-31,LVB,A,2023,D,14331.0,31
2024-DEP-31,LVB,A,2022,D,15523.0,31
2024-DEP-31,LVB,A,2024,PROV,14450.0,31
2024-DEP-31,LVB,A,2021,D,15968.0,31
2024-DEP-31,LVB,A,2015,D,16363.0,31
2024-DEP-31,LVB,A,2020,D,15825.0,31
2024-DEP-31,LVB,A,2018,D,15966.0,31
2024-DEP-31,LVB,A,2019,D,15870.0,31
2024-DEP-32,LVB,A,2018,D,1434.0,32
2024-DEP-32,LVB,A,2022,D,1471.0,32
2024-DEP-32,LVB,A,2017,D,1383.0,32
2024-DEP-32,LVB,A,2019,D,1388.0,32
2024-DEP-32,LVB,A,2016,D,1497.0,32
2024-DEP-32,LVB,A,2020,D,1409.0,32
2024-DEP-32,LVB,A,2021,D,1515.0,32
2024-DEP-32,LVB,A,2023,D,1246.0,32
2024-DEP-32,LVB,A,2015,D,1576.0,32
2024-DEP-32,LVB,A,2024,PROV,1243.0,32
2024-DEP-33,LVB,A,2022,D,16997.0,33
2024-DEP-33,LVB,A,2023,D,15762.0,33
2024-DEP-33,LVB,A,2021,D,17494.0,33
2024-DEP-33,LVB,A,2020,D,16970.0,33
2024-DEP-33,LVB,A,2016,D,17052.0,33
2024-DEP-33,LVB,A,2019,D,16955.0,33
2024-DEP-33,LVB,A,2015,D,17103.0,33
2024-DEP-33,LVB,A,2017,D,17004.0,33
2024-DEP-33,LVB,A,2024,PROV,15389.0,33
2024-DEP-33,LVB,A,2018,D,17115.0,33
2024-DEP-34,LVB,A,2020,D,12411.0,34
2024-DEP-34,LVB,A,2023,D,11167.0,34
2024-DEP-34,LVB,A,2024,PROV,10734.0,34
2024-DEP-34,LVB,A,2015,D,12919.0,34
2024-DEP-34,LVB,A,2016,D,12761.0,34
2024-DEP-34,LVB,A,2018,D,12577.0,34
2024-DEP-34,LVB,A,2021,D,12580.0,34
2024-DEP-34,LVB,A,2019,D,12488.0,34
2024-DEP-34,LVB,A,2017,D,12507.0,34
2024-DEP-34,LVB,A,2022,D,12436.0,34
2024-DEP-35,LVB,A,2019,D,11639.0,35
2024-DEP-35,LVB,A,2018,D,11656.0,35
2024-DEP-35,LVB,A,2024,PROV,10702.0,35
2024-DEP-35,LVB,A,2016,D,11925.0,35
2024-DEP-35,LVB,A,2017,D,11680.0,35
2024-DEP-35,LVB,A,2023,D,10862.0,35
2024-DEP-35,LVB,A,2022,D,11349.0,35
2024-DEP-35,LVB,A,2021,D,11758.0,35
2024-DEP-35,LVB,A,2015,D,12018.0,35
2024-DEP-35,LVB,A,2020,D,11548.0,35
2024-DEP-36,LVB,A,2020,D,1727.0,36
2024-DEP-36,LVB,A,2017,D,1719.0,36
2024-DEP-36,LVB,A,2019,D,1773.0,36
2024-DEP-36,LVB,A,2018,D,1766.0,36
2024-DEP-36,LVB,A,2016,D,1760.0,36
2024-DEP-36,LVB,A,2023,D,1599.0,36
2024-DEP-36,LVB,A,2024,PROV,1533.0,36
2024-DEP-36,LVB,A,2022,D,1671.0,36
2024-DEP-36,LVB,A,2021,D,1816.0,36
2024-DEP-36,LVB,A,2015,D,1876.0,36
2024-DEP-37,LVB,A,2022,D,5848.0,37
2024-DEP-37,LVB,A,2016,D,6400.0,37
2024-DEP-37,LVB,A,2024,PROV,5423.0,37
2024-DEP-37,LVB,A,2019,D,5970.0,37
2024-DEP-37,LVB,A,2017,D,6206.0,37
2024-DEP-37,LVB,A,2020,D,6020.0,37
2024-DEP-37,LVB,A,2023,D,5619.0,37
2024-DEP-37,LVB,A,2021,D,6142.0,37
2024-DEP-37,LVB,A,2018,D,6104.0,37
2024-DEP-37,LVB,A,2015,D,6458.0,37
2024-DEP-38,LVB,A,2015,D,14981.0,38
2024-DEP-38,LVB,A,2021,D,13742.0,38
2024-DEP-38,LVB,A,2017,D,14634.0,38
2024-DEP-38,LVB,A,2018,D,14062.0,38
2024-DEP-38,LVB,A,2016,D,14943.0,38
2024-DEP-38,LVB,A,2023,D,12486.0,38
2024-DEP-38,LVB,A,2024,PROV,12464.0,38
2024-DEP-38,LVB,A,2020,D,13791.0,38
2024-DEP-38,LVB,A,2022,D,13514.0,38
2024-DEP-38,LVB,A,2019,D,13925.0,38
2024-DEP-39,LVB,A,2019,D,2364.0,39
2024-DEP-39,LVB,A,2024,PROV,1895.0,39
2024-DEP-39,LVB,A,2021,D,2232.0,39
2024-DEP-39,LVB,A,2017,D,2403.0,39
2024-DEP-39,LVB,A,2015,D,2528.0,39
2024-DEP-39,LVB,A,2022,D,2192.0,39
2024-DEP-39,LVB,A,2018,D,2294.0,39
2024-DEP-39,LVB,A,2016,D,2540.0,39
2024-DEP-39,LVB,A,2020,D,2244.0,39
2024-DEP-39,LVB,A,2023,D,2083.0,39
2024-DEP-40,LVB,A,2017,D,3390.0,40
2024-DEP-40,LVB,A,2022,D,3602.0,40
2024-DEP-40,LVB,A,2019,D,3483.0,40
2024-DEP-40,LVB,A,2016,D,3498.0,40
2024-DEP-40,LVB,A,2018,D,3356.0,40
2024-DEP-40,LVB,A,2015,D,3682.0,40
2024-DEP-40,LVB,A,2020,D,3405.0,40
2024-DEP-40,LVB,A,2023,D,3151.0,40
2024-DEP-40,LVB,A,2021,D,3494.0,40
2024-DEP-40,LVB,A,2024,PROV,3084.0,40
2024-DEP-41,LVB,A,2018,D,3016.0,41
2024-DEP-41,LVB,A,2017,D,3105.0,41
2024-DEP-41,LVB,A,2023,D,2786.0,41
2024-DEP-41,LVB,A,2021,D,2969.0,41
2024-DEP-41,LVB,A,2019,D,2936.0,41
2024-DEP-41,LVB,A,2020,D,2935.0,41
2024-DEP-41,LVB,A,2024,PROV,2671.0,41
2024-DEP-41,LVB,A,2015,D,3335.0,41
2024-DEP-41,LVB,A,2022,D,3006.0,41
2024-DEP-41,LVB,A,2016,D,3200.0,41
2024-DEP-42,LVB,A,2024,PROV,7308.0,42
2024-DEP-42,LVB,A,2023,D,7326.0,42
2024-DEP-42,LVB,A,2016,D,8575.0,42
2024-DEP-42,LVB,A,2019,D,8404.0,42
2024-DEP-42,LVB,A,2017,D,8391.0,42
2024-DEP-42,LVB,A,2018,D,8438.0,42
2024-DEP-42,LVB,A,2022,D,7969.0,42
2024-DEP-42,LVB,A,2021,D,7963.0,42
2024-DEP-42,LVB,A,2015,D,9021.0,42
2024-DEP-42,LVB,A,2020,D,8050.0,42
2024-DEP-43,LVB,A,2017,D,2000.0,43
2024-DEP-43,LVB,A,2019,D,1957.0,43
2024-DEP-43,LVB,A,2016,D,2025.0,43
2024-DEP-43,LVB,A,2015,D,2186.0,43
2024-DEP-43,LVB,A,2024,PROV,1729.0,43
2024-DEP-43,LVB,A,2020,D,1893.0,43
2024-DEP-43,LVB,A,2022,D,1828.0,43
2024-DEP-43,LVB,A,2018,D,2060.0,43
2024-DEP-43,LVB,A,2021,D,1977.0,43
2024-DEP-43,LVB,A,2023,D,1746.0,43
2024-DEP-44,LVB,A,2023,D,14973.0,44
2024-DEP-44,LVB,A,2015,D,16352.0,44
2024-DEP-44,LVB,A,2022,D,16119.0,44
2024-DEP-44,LVB,A,2021,D,16746.0,44
2024-DEP-44,LVB,A,2019,D,16221.0,44
2024-DEP-44,LVB,A,2018,D,16198.0,44
2024-DEP-44,LVB,A,2017,D,16309.0,44
2024-DEP-44,LVB,A,2020,D,16159.0,44
2024-DEP-44,LVB,A,2016,D,16190.0,44
2024-DEP-44,LVB,A,2024,PROV,14582.0,44
2024-DEP-45,LVB,A,2023,D,6974.0,45
2024-DEP-45,LVB,A,2021,D,7517.0,45
2024-DEP-45,LVB,A,2019,D,7819.0,45
2024-DEP-45,LVB,A,2022,D,7588.0,45
2024-DEP-45,LVB,A,2020,D,7615.0,45
2024-DEP-45,LVB,A,2016,D,7860.0,45
2024-DEP-45,LVB,A,2024,PROV,6960.0,45
2024-DEP-45,LVB,A,2018,D,7815.0,45
2024-DEP-45,LVB,A,2017,D,7781.0,45
2024-DEP-45,LVB,A,2015,D,8137.0,45
