dtreffre,numdep,nomdep,numregi,nomregi,ars_type,indfoy_ars,indmtt_ars,lieures
2016,07,ARDECHE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,294,102568.0,AUVERGNE RHONE ALPES/ARDECHE
2016,08,ARDENNES,44,ALSACE CHAMPAGNE ARDENNE LORRAINE,ARS à taux différentiel,210,74047.0,ALSACE CHAMPAGNE ARDENNE LORRAINE/ARDENNES
2016,14,CALVADOS,28,NORMANDIE,ARS à taux différentiel,629,229700.0,NORMANDIE/CALVADOS
2016,17,CHARENTE MARITIME,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux différentiel,546,192754.0,AQUITAINE LIMOUSIN POITOU CHARENTES/CHARENTE MARITIME
2016,19,CORREZE,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux plein,8927,5522446.0,AQUITAINE LIMOUSIN POITOU CHARENTES/CORREZE
2016,22,COTES D ARMOR,53,BRETAGNE,ARS à taux plein,23004,14903967.0,BRETAGNE/COTES D ARMOR
2016,23,CREUSE,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux différentiel,91,31871.0,AQUITAINE LIMOUSIN POITOU CHARENTES/CREUSE
2016,25,DOUBS,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,374,148865.0,BOURGOGNE FRANCHE COMTE/DOUBS
2016,27,EURE,28,NORMANDIE,ARS à taux différentiel,588,219126.0,NORMANDIE/EURE
2016,28,EURE ET LOIR,24,CENTRE VAL DE LOIRE,ARS à taux plein,19082,12756252.0,CENTRE VAL DE LOIRE/EURE ET LOIR
2016,28,EURE ET LOIR,24,CENTRE VAL DE LOIRE,ARS à taux différentiel,414,161951.0,CENTRE VAL DE LOIRE/EURE ET LOIR
2016,29,FINISTERE,53,BRETAGNE,ARS à taux différentiel,806,305238.0,BRETAGNE/FINISTERE
2016,2A,CORSE DU SUD,94,CORSE,ARS à taux différentiel,94,33403.0,CORSE/CORSE DU SUD
2016,2B,HAUTE CORSE,94,CORSE,ARS à taux plein,7275,4053180.0,CORSE/HAUTE CORSE
2016,30,GARD,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux différentiel,516,174683.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/GARD
2016,31,HAUTE GARONNE,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux différentiel,835,290566.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/HAUTE GARONNE
2016,36,INDRE,24,CENTRE VAL DE LOIRE,ARS à taux plein,9165,5773282.0,CENTRE VAL DE LOIRE/INDRE
2016,39,JURA,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,10163,6634809.0,BOURGOGNE FRANCHE COMTE/JURA
2016,39,JURA,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,206,73485.0,BOURGOGNE FRANCHE COMTE/JURA
2016,42,LOIRE,84,AUVERGNE RHONE ALPES,ARS à taux plein,34446,22694901.0,AUVERGNE RHONE ALPES/LOIRE
2016,42,LOIRE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,636,240543.0,AUVERGNE RHONE ALPES/LOIRE
2016,45,LOIRET,24,CENTRE VAL DE LOIRE,ARS à taux différentiel,600,222100.0,CENTRE VAL DE LOIRE/LOIRET
2016,46,LOT,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux plein,6675,3994941.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/LOT
2016,46,LOT,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux différentiel,121,43660.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/LOT
2016,50,MANCHE,28,NORMANDIE,ARS à taux plein,19377,12494281.0,NORMANDIE/MANCHE
2016,69,RHONE,84,AUVERGNE RHONE ALPES,ARS à taux plein,76707,50943853.0,AUVERGNE RHONE ALPES/RHONE
2016,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,22458,14508755.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE
2016,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,488,182587.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE
2016,72,SARTHE,52,PAYS DE LA LOIRE,ARS à taux différentiel,572,204037.0,PAYS DE LA LOIRE/SARTHE
2016,73,SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux plein,16354,10341110.0,AUVERGNE RHONE ALPES/SAVOIE
2016,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,411,158620.0,AUVERGNE RHONE ALPES/HAUTE SAVOIE
2016,79,DEUX SEVRES,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux plein,14475,9279880.0,AQUITAINE LIMOUSIN POITOU CHARENTES/DEUX SEVRES
2016,81,TARN,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux plein,17387,10777450.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/TARN
2016,82,TARN ET GARONNE,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux plein,12916,8223992.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/TARN ET GARONNE
2016,82,TARN ET GARONNE,76,LANGUEDOC ROUSSILLON MIDI PYRENEES,ARS à taux différentiel,237,81713.0,LANGUEDOC ROUSSILLON MIDI PYRENEES/TARN ET GARONNE
2016,87,HAUTE VIENNE,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux plein,14202,8913959.0,AQUITAINE LIMOUSIN POITOU CHARENTES/HAUTE VIENNE
2016,87,HAUTE VIENNE,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux différentiel,241,79838.0,AQUITAINE LIMOUSIN POITOU CHARENTES/HAUTE VIENNE
2016,92,HAUTS DE SEINE,11,ILE DE FRANCE,ARS à taux plein,50071,31389144.0,ILE DE FRANCE/HAUTS DE SEINE
2016,92,HAUTS DE SEINE,11,ILE DE FRANCE,ARS à taux différentiel,738,259871.0,ILE DE FRANCE/HAUTS DE SEINE
2016,93,SEINE SAINT DENIS,11,ILE DE FRANCE,ARS à taux plein,106260,70749805.0,ILE DE FRANCE/SEINE SAINT DENIS
2016,94,VAL DE MARNE,11,ILE DE FRANCE,ARS à taux différentiel,806,281890.0,ILE DE FRANCE/VAL DE MARNE
2016,95,VAL D OISE,11,ILE DE FRANCE,ARS à taux différentiel,923,350262.0,ILE DE FRANCE/VAL D OISE
2016,972,MARTINIQUE,02,MARTINIQUE,ARS à taux différentiel,150,43459.0,MARTINIQUE/MARTINIQUE
2016,974,LA REUNION,04,LA REUNION,ARS à taux différentiel,526,170717.0,LA REUNION/LA REUNION
2017,67,BAS RHIN,44,GRAND EST,ARS à taux plein,44314,28791152.0,GRAND EST/BAS RHIN
2017,67,BAS RHIN,44,GRAND EST,ARS à taux différentiel,737,268021.0,GRAND EST/BAS RHIN
2016,02,AISNE,32,NORD PAS DE CALAIS PICARDIE,ARS à taux plein,28720,18909684.0,NORD PAS DE CALAIS PICARDIE/AISNE
2016,07,ARDECHE,84,AUVERGNE RHONE ALPES,ARS à taux plein,14376,9020450.0,AUVERGNE RHONE ALPES/ARDECHE
2016,52,HAUTE MARNE,44,ALSACE CHAMPAGNE ARDENNE LORRAINE,ARS à taux plein,7704,4983042.0,ALSACE CHAMPAGNE ARDENNE LORRAINE/HAUTE MARNE
2016,56,MORBIHAN,53,BRETAGNE,ARS à taux plein,29518,18756163.0,BRETAGNE/MORBIHAN
2016,58,NIEVRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,8538,5264523.0,BOURGOGNE FRANCHE COMTE/NIEVRE
2016,60,OISE,32,NORD PAS DE CALAIS PICARDIE,ARS à taux plein,38928,25679890.0,NORD PAS DE CALAIS PICARDIE/OISE
2016,61,ORNE,28,NORMANDIE,ARS à taux plein,12301,8101163.0,NORMANDIE/ORNE
2016,62,PAS DE CALAIS,32,NORD PAS DE CALAIS PICARDIE,ARS à taux différentiel,1234,449972.0,NORD PAS DE CALAIS PICARDIE/PAS DE CALAIS
2016,64,PYRENEES ATLANTIQUES,75,AQUITAINE LIMOUSIN POITOU CHARENTES,ARS à taux plein,25231,15205524.0,AQUITAINE LIMOUSIN POITOU CHARENTES/PYRENEES ATLANTIQUES
2021,31,HAUTE GARONNE,76,OCCITANIE,ARS à taux différentiel,889,323177.0,OCCITANIE/HAUTE GARONNE
2021,45,LOIRET,24,CENTRE VAL DE LOIRE,ARS à taux plein,31717,21781353.0,CENTRE VAL DE LOIRE/LOIRET
2021,46,LOT,76,OCCITANIE,ARS à taux différentiel,117,37988.0,OCCITANIE/LOT
2021,47,LOT ET GARONNE,75,NOUVELLE AQUITAINE,ARS à taux plein,14467,9379706.0,NOUVELLE AQUITAINE/LOT ET GARONNE
2021,50,MANCHE,28,NORMANDIE,ARS à taux plein,18223,11872416.0,NORMANDIE/MANCHE
2021,56,MORBIHAN,53,BRETAGNE,ARS à taux plein,28571,18428717.0,BRETAGNE/MORBIHAN
2021,56,MORBIHAN,53,BRETAGNE,ARS à taux différentiel,663,242964.0,BRETAGNE/MORBIHAN
2021,57,MOSELLE,44,GRAND EST,ARS à taux plein,38970,25550560.0,GRAND EST/MOSELLE
2021,58,NIEVRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,134,49574.0,BOURGOGNE FRANCHE COMTE/NIEVRE
2021,59,NORD,32,HAUTS DE FRANCE,ARS à taux plein,4,1957.0,HAUTS DE FRANCE/NORD
2021,59,NORD,32,HAUTS DE FRANCE,ARS à taux plein,132661,90944456.0,HAUTS DE FRANCE/NORD
2021,59,NORD,32,HAUTS DE FRANCE,ARS à taux différentiel,1824,671603.0,HAUTS DE FRANCE/NORD
2021,61,ORNE,28,NORMANDIE,ARS à taux plein,11305,7582826.0,NORMANDIE/ORNE
2021,61,ORNE,28,NORMANDIE,ARS à taux différentiel,223,87992.0,NORMANDIE/ORNE
2021,62,PAS DE CALAIS,32,HAUTS DE FRANCE,ARS à taux plein,79044,53304557.0,HAUTS DE FRANCE/PAS DE CALAIS
2021,63,PUY DE DOME,84,AUVERGNE RHONE ALPES,ARS à taux plein,1,1171.0,AUVERGNE RHONE ALPES/PUY DE DOME
2021,65,HAUTES PYRENEES,76,OCCITANIE,ARS à taux différentiel,168,56052.0,OCCITANIE/HAUTES PYRENEES
2021,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,21684,14558406.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE
2021,78,YVELINES,11,ILE DE FRANCE,ARS à taux différentiel,957,372769.0,ILE DE FRANCE/YVELINES
2021,974,LA REUNION,04,LA REUNION,ARS à taux différentiel,548,182011.0,LA REUNION/LA REUNION
2020,04,ALPES DE HAUTE PROVENCE,93,PROVENCE ALPES COTE D AZUR,ARS à taux plein,7213,5634878.0,PROVENCE ALPES COTE D AZUR/ALPES DE HAUTE PROVENCE
2020,04,ALPES DE HAUTE PROVENCE,93,PROVENCE ALPES COTE D AZUR,ARS à taux différentiel,137,59401.0,PROVENCE ALPES COTE D AZUR/ALPES DE HAUTE PROVENCE
2020,06,ALPES MARITIMES,93,PROVENCE ALPES COTE D AZUR,ARS à taux différentiel,784,350459.0,PROVENCE ALPES COTE D AZUR/ALPES MARITIMES
2020,11,AUDE,76,OCCITANIE,ARS à taux plein,19003,14996729.0,OCCITANIE/AUDE
2020,15,CANTAL,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,137,64360.0,AUVERGNE RHONE ALPES/CANTAL
2020,23,CREUSE,75,NOUVELLE AQUITAINE,ARS à taux différentiel,87,42066.0,NOUVELLE AQUITAINE/CREUSE
2020,31,HAUTE GARONNE,76,OCCITANIE,ARS à taux différentiel,1060,477130.0,OCCITANIE/HAUTE GARONNE
2020,34,HERAULT,76,OCCITANIE,ARS à taux plein,58468,46251706.0,OCCITANIE/HERAULT
2020,49,MAINE ET LOIRE,52,PAYS DE LA LOIRE,ARS à taux différentiel,1015,513386.0,PAYS DE LA LOIRE/MAINE ET LOIRE
2020,54,MEURTHE ET MOSELLE,44,GRAND EST,ARS à taux plein,29006,23758522.0,GRAND EST/MEURTHE ET MOSELLE
2020,57,MOSELLE,44,GRAND EST,ARS à taux plein,2,1472.0,GRAND EST/MOSELLE
2020,58,NIEVRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,158,76232.0,BOURGOGNE FRANCHE COMTE/NIEVRE
2020,59,NORD,32,HAUTS DE FRANCE,ARS à taux plein,4,2444.0,HAUTS DE FRANCE/NORD
2020,65,HAUTES PYRENEES,76,OCCITANIE,ARS à taux plein,9625,7492001.0,OCCITANIE/HAUTES PYRENEES
2020,65,HAUTES PYRENEES,76,OCCITANIE,ARS à taux différentiel,191,77552.0,OCCITANIE/HAUTES PYRENEES
2020,67,BAS RHIN,44,GRAND EST,ARS à taux différentiel,867,404126.0,GRAND EST/BAS RHIN
2020,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,21468,18121634.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE
2020,73,SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux plein,15921,12947102.0,AUVERGNE RHONE ALPES/SAVOIE
2020,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux plein,23035,18761244.0,AUVERGNE RHONE ALPES/HAUTE SAVOIE
2020,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,550,255525.0,AUVERGNE RHONE ALPES/HAUTE SAVOIE
2020,76,SEINE MARITIME,28,NORMANDIE,ARS à taux plein,58528,48302111.0,NORMANDIE/SEINE MARITIME
2020,77,SEINE ET MARNE,11,ILE DE FRANCE,ARS à taux plein,2,1438.0,ILE DE FRANCE/SEINE ET MARNE
2020,79,DEUX SEVRES,75,NOUVELLE AQUITAINE,ARS à taux plein,1,1472.0,NOUVELLE AQUITAINE/DEUX SEVRES
2020,81,TARN,76,OCCITANIE,ARS à taux différentiel,375,178989.0,OCCITANIE/TARN
2020,83,VAR,93,PROVENCE ALPES COTE D AZUR,ARS à taux plein,1,493.0,PROVENCE ALPES COTE D AZUR/VAR
2020,86,VIENNE,75,NOUVELLE AQUITAINE,ARS à taux plein,17934,14848875.0,NOUVELLE AQUITAINE/VIENNE
2020,89,YONNE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,317,153009.0,BOURGOGNE FRANCHE COMTE/YONNE
2020,92,HAUTS DE SEINE,11,ILE DE FRANCE,ARS à taux plein,50021,41368311.0,ILE DE FRANCE/HAUTS DE SEINE
2020,94,VAL DE MARNE,11,ILE DE FRANCE,ARS à taux plein,63447,53267009.0,ILE DE FRANCE/VAL DE MARNE
2020,974,LA REUNION,04,LA REUNION,ARS à taux plein,79380,63098343.0,LA REUNION/LA REUNION
2019,04,ALPES DE HAUTE PROVENCE,93,PROVENCE ALPES COTE D AZUR,ARS à taux différentiel,110,34330.0,PROVENCE ALPES COTE D AZUR/ALPES DE HAUTE PROVENCE
2019,05,HAUTES ALPES,93,PROVENCE ALPES COTE D AZUR,ARS à taux plein,5811,3571104.0,PROVENCE ALPES COTE D AZUR/HAUTES ALPES
2019,05,HAUTES ALPES,93,PROVENCE ALPES COTE D AZUR,ARS à taux différentiel,120,40273.0,PROVENCE ALPES COTE D AZUR/HAUTES ALPES
2019,06,ALPES MARITIMES,93,PROVENCE ALPES COTE D AZUR,ARS à taux plein,45456,27736943.0,PROVENCE ALPES COTE D AZUR/ALPES MARITIMES
2019,07,ARDECHE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,319,121626.0,AUVERGNE RHONE ALPES/ARDECHE
2019,12,AVEYRON,76,OCCITANIE,ARS à taux différentiel,227,79054.0,OCCITANIE/AVEYRON
2019,14,CALVADOS,28,NORMANDIE,ARS à taux différentiel,572,201194.0,NORMANDIE/CALVADOS
2019,16,CHARENTE,75,NOUVELLE AQUITAINE,ARS à taux plein,14710,9291578.0,NOUVELLE AQUITAINE/CHARENTE
2019,18,CHER,24,CENTRE VAL DE LOIRE,ARS à taux plein,12783,8280634.0,CENTRE VAL DE LOIRE/CHER
2019,22,COTES D ARMOR,53,BRETAGNE,ARS à taux plein,22583,14742918.0,BRETAGNE/COTES D ARMOR
