REF_AREA,TIME_PERIOD,OBS_VALUE,Code,Trimestre
D01,2004-Q1,5.5,01,T1_2004
D01,2003-Q4,5.4,01,T4_2003
D01,2003-Q3,5.1,01,T3_2003
D01,2003-Q2,5.1,01,T2_2003
D01,2003-Q1,5.0,01,T1_2003
D01,2002-Q4,4.6,01,T4_2002
D01,2002-Q3,4.5,01,T3_2002
D01,2002-Q2,4.4,01,T2_2002
D01,2002-Q1,4.3,01,T1_2002
D01,2001-Q4,4.2,01,T4_2001
D01,2001-Q3,3.9,01,T3_2001
D01,2001-Q2,3.7,01,T2_2001
D01,2001-Q1,3.7,01,T1_2001
D01,2000-Q4,3.9,01,T4_2000
D01,2000-Q3,4.3,01,T3_2000
D01,2000-Q2,4.7,01,T2_2000
D01,2000-Q1,5.1,01,T1_2000
D01,1999-Q4,5.6,01,T4_1999
D01,1999-Q3,5.9,01,T3_1999
D01,1999-Q2,6.1,01,T2_1999
D01,1999-Q1,6.1,01,T1_1999
D01,1998-Q4,6.0,01,T4_1998
D01,1998-Q3,6.0,01,T3_1998
D01,1998-Q2,6.0,01,T2_1998
D01,1998-Q1,6.2,01,T1_1998
D01,1997-Q4,6.5,01,T4_1997
D01,1997-Q3,6.6,01,T3_1997
D01,1997-Q2,6.6,01,T2_1997
D01,1997-Q1,6.8,01,T1_1997
D01,1996-Q4,6.7,01,T4_1996
D01,1996-Q3,6.8,01,T3_1996
D01,1996-Q2,6.9,01,T2_1996
D01,1996-Q1,6.7,01,T1_1996
D01,1995-Q4,6.6,01,T4_1995
D01,1995-Q3,6.6,01,T3_1995
D01,1995-Q2,6.7,01,T2_1995
D01,1995-Q1,6.8,01,T1_1995
D01,1994-Q4,7.1,01,T4_1994
D01,1994-Q3,7.4,01,T3_1994
D01,1994-Q2,7.6,01,T2_1994
D01,1994-Q1,7.5,01,T1_1994
D01,1993-Q4,7.4,01,T4_1993
D01,1993-Q3,7.2,01,T3_1993
D01,1993-Q2,6.9,01,T2_1993
D01,1993-Q1,6.6,01,T1_1993
D01,1992-Q4,6.3,01,T4_1992
D01,1992-Q3,5.9,01,T3_1992
D01,1992-Q2,5.6,01,T2_1992
D01,1992-Q1,5.3,01,T1_1992
D01,1991-Q4,5.0,01,T4_1991
D01,1991-Q3,4.7,01,T3_1991
D01,1991-Q2,4.5,01,T2_1991
D01,1991-Q1,4.3,01,T1_1991
D01,1990-Q4,4.2,01,T4_1990
D01,1990-Q3,4.0,01,T3_1990
D01,1990-Q2,4.0,01,T2_1990
D01,1990-Q1,4.0,01,T1_1990
D01,1989-Q4,4.1,01,T4_1989
D01,1989-Q3,4.3,01,T3_1989
D01,1989-Q2,4.4,01,T2_1989
D01,1989-Q1,4.6,01,T1_1989
D01,1988-Q4,4.7,01,T4_1988
D01,1988-Q3,4.9,01,T3_1988
D01,1988-Q2,5.0,01,T2_1988
D01,1988-Q1,5.1,01,T1_1988
D01,1987-Q4,5.2,01,T4_1987
D01,1987-Q3,5.2,01,T3_1987
D01,1987-Q2,5.4,01,T2_1987
D01,1987-Q1,5.5,01,T1_1987
D01,1986-Q4,5.5,01,T4_1986
D01,1986-Q3,5.5,01,T3_1986
D01,1986-Q2,5.3,01,T2_1986
D01,1986-Q1,5.2,01,T1_1986
D01,1985-Q4,5.2,01,T4_1985
D01,1985-Q3,5.4,01,T3_1985
D01,1985-Q2,5.6,01,T2_1985
D01,1985-Q1,5.7,01,T1_1985
D01,1984-Q4,5.6,01,T4_1984
D01,1984-Q3,5.3,01,T3_1984
D01,1984-Q2,5.1,01,T2_1984
D01,1984-Q1,4.9,01,T1_1984
D01,1983-Q4,4.6,01,T4_1983
D01,1983-Q3,4.4,01,T3_1983
D01,1983-Q2,4.2,01,T2_1983
D01,1983-Q1,4.2,01,T1_1983
D01,1982-Q4,4.1,01,T4_1982
D01,1982-Q3,4.0,01,T3_1982
D01,1982-Q2,3.9,01,T2_1982
D01,1982-Q1,3.8,01,T1_1982
D02,2024-Q3,10.6,02,T3_2024
D02,2024-Q2,10.5,02,T2_2024
D02,2024-Q1,10.7,02,T1_2024
D02,2023-Q4,10.7,02,T4_2023
D02,2023-Q3,10.6,02,T3_2023
D02,2023-Q2,10.4,02,T2_2023
D02,2023-Q1,10.3,02,T1_2023
D02,2022-Q4,10.2,02,T4_2022
D02,2022-Q3,10.4,02,T3_2022
D02,2022-Q2,10.6,02,T2_2022
D02,2022-Q1,10.5,02,T1_2022
D02,2021-Q4,10.6,02,T4_2021
D02,2021-Q3,11.3,02,T3_2021
D02,2021-Q2,10.9,02,T2_2021
D02,2021-Q1,11.2,02,T1_2021
D02,2020-Q4,10.9,02,T4_2020
D02,2020-Q3,12.2,02,T3_2020
D02,2020-Q2,9.6,02,T2_2020
D02,2020-Q1,11.1,02,T1_2020
D02,2019-Q4,11.3,02,T4_2019
D02,2019-Q3,11.6,02,T3_2019
D02,2019-Q2,11.7,02,T2_2019
D02,2019-Q1,12.0,02,T1_2019
D02,2018-Q4,12.0,02,T4_2018
D02,2018-Q3,12.2,02,T3_2018
D02,2018-Q2,12.5,02,T2_2018
D02,2018-Q1,12.9,02,T1_2018
D02,2017-Q4,12.4,02,T4_2017
D02,2017-Q3,13.2,02,T3_2017
D02,2017-Q2,13.1,02,T2_2017
D02,2017-Q1,13.2,02,T1_2017
D02,2016-Q4,13.7,02,T4_2016
D02,2016-Q3,13.4,02,T3_2016
D02,2016-Q2,13.6,02,T2_2016
D02,2016-Q1,13.8,02,T1_2016
D02,2015-Q4,13.7,02,T4_2015
D02,2015-Q3,13.8,02,T3_2015
D02,2015-Q2,14.0,02,T2_2015
D02,2015-Q1,13.8,02,T1_2015
D02,2014-Q4,13.9,02,T4_2014
D02,2014-Q3,13.9,02,T3_2014
D02,2014-Q2,13.8,02,T2_2014
D02,2014-Q1,13.9,02,T1_2014
D02,2013-Q4,13.9,02,T4_2013
D02,2013-Q3,14.2,02,T3_2013
D02,2013-Q2,14.4,02,T2_2013
D02,2013-Q1,14.3,02,T1_2013
D02,2012-Q4,14.2,02,T4_2012
D02,2012-Q3,13.6,02,T3_2012
D02,2012-Q2,13.6,02,T2_2012
D02,2012-Q1,13.3,02,T1_2012
D02,2011-Q4,13.0,02,T4_2011
D02,2011-Q3,12.5,02,T3_2011
D02,2011-Q2,12.5,02,T2_2011
D02,2011-Q1,12.5,02,T1_2011
D02,2010-Q4,12.4,02,T4_2010
D02,2010-Q3,12.5,02,T3_2010
D02,2010-Q2,12.5,02,T2_2010
D02,2010-Q1,12.5,02,T1_2010
D02,2009-Q4,12.7,02,T4_2009
D02,2009-Q3,12.3,02,T3_2009
D02,2009-Q2,12.2,02,T2_2009
D02,2009-Q1,11.4,02,T1_2009
D02,2008-Q4,10.2,02,T4_2008
D02,2008-Q3,9.9,02,T3_2008
D02,2008-Q2,9.6,02,T2_2008
D02,2008-Q1,9.4,02,T1_2008
D02,2007-Q4,9.6,02,T4_2007
D02,2007-Q3,10.1,02,T3_2007
D02,2007-Q2,10.2,02,T2_2007
D02,2007-Q1,10.7,02,T1_2007
D02,2006-Q4,10.5,02,T4_2006
D02,2006-Q3,11.1,02,T3_2006
D02,2006-Q2,11.2,02,T2_2006
D02,2006-Q1,11.4,02,T1_2006
